incident_id,date,severity,service,team,duration_minutes,mttr_minutes,customer_impact,root_cause_category,primary_responder,additional_responders,cross_team,repeat_incident,related_incidents,status,estimated_revenue_impact
INC-2024-033,2024-07-02,SEV-3,notification-service,platform,45,38,low,configuration error,lisa.wong,,false,false,,resolved,0
INC-2024-034,2024-07-05,SEV-2,payment-gateway,payment,127,115,medium,database timeout,dev.patel,lisa.wong,true,false,,resolved,8500
INC-2024-035,2024-07-08,SEV-4,reporting-service,analytics,22,18,none,query optimization,john.smith,,false,false,,resolved,0
INC-2024-036,2024-07-12,SEV-2,api-gateway,platform,89,76,medium,rate limiting bug,lisa.wong,tom.chen,true,false,,resolved,3200
INC-2024-037,2024-07-15,SEV-3,user-auth,platform,56,49,low,session expiry issue,marcus.rodriguez,,false,false,,resolved,0
INC-2024-038,2024-07-18,SEV-1,payment-gateway,payment,142,128,high,payment processor API down,dev.patel,"lisa.wong,sarah.chen,marcus.rodriguez",true,false,,resolved,45000
INC-2024-039,2024-07-22,SEV-3,email-service,platform,34,29,low,SMTP rate limit,lisa.wong,,false,false,,resolved,0
INC-2024-040,2024-07-25,SEV-2,checkout-flow,payment,98,87,medium,cart session timeout,dev.patel,anna.kim,true,true,INC-2024-021,resolved,12000
INC-2024-041,2024-07-28,SEV-4,admin-dashboard,product,18,15,none,UI rendering bug,rachel.kumar,,false,false,,resolved,0
INC-2024-042,2024-08-01,SEV-2,billing-service,billing,112,98,medium,invoice generation failure,anna.kim,dev.patel,true,false,,resolved,6800
INC-2024-043,2024-08-04,SEV-3,search-service,product,67,59,low,elasticsearch query timeout,jake.chen,,false,false,,resolved,0
INC-2024-044,2024-08-07,SEV-2,payment-gateway,payment,91,79,medium,fraud detection false positives,dev.patel,,false,false,,resolved,9500
INC-2024-045,2024-08-11,SEV-4,notification-service,platform,28,22,none,webhook retry loop,lisa.wong,,false,false,,resolved,0
INC-2024-046,2024-08-14,SEV-3,api-gateway,platform,78,68,low,memory leak,tom.chen,lisa.wong,true,false,,resolved,0
INC-2024-047,2024-08-18,SEV-2,user-auth,platform,134,119,medium,OAuth token validation,marcus.rodriguez,tom.chen,true,false,,resolved,4200
INC-2024-048,2024-08-21,SEV-3,payment-gateway,payment,53,46,low,payment method validation,dev.patel,,false,false,,resolved,1800
INC-2024-049,2024-08-25,SEV-1,cdn-delivery,platform,203,186,high,CDN provider outage,tom.chen,"lisa.wong,sarah.chen,marcus.rodriguez",true,false,,resolved,78000
INC-2024-050,2024-08-28,SEV-4,reporting-service,analytics,31,26,none,dashboard cache miss,john.smith,,false,false,,resolved,0
INC-2024-051,2024-09-01,SEV-2,checkout-flow,payment,87,74,medium,shipping calculator API timeout,dev.patel,rachel.kumar,true,false,,resolved,7200
INC-2024-052,2024-09-04,SEV-3,email-service,platform,44,37,low,template rendering error,lisa.wong,,false,false,,resolved,0
